mcc,mnc,lac,cellid,lat,lon
240,1,120,25988885,57.861453,11.9326
240,1,120,25988886,57.860289,11.934562
240,7,195,12804036,57.86773682,11.94763184
240,7,195,12834033,57.86773682,11.94763184
240,8,11014,28530182,57.8702952,11.9454102
240,8,11014,28576517,57.864939,11.9227481
240,8,11014,28596741,57.868061,11.9310397
240,2,20202,72580932,57.8736466,11.9490446
240,1,120,25988888,57.8638503,11.9205944
240,7,11014,28530191,57.872239,11.931332
240,7,11014,28596750,57.872295,11.9311604
